Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Sun TV Network,532733,SUNTV,INE424H01027,Entertainment,TV Broadcasting & Software Production,468.7,41.76,18470.76,4502.42,2299.89,51.08,50.36,11.66,1.44,-3.01,11.22,0.01,12.23,1110.63,484.98,1433.46,405.62,0.0,11.6,0.39,-0.84,0.05,2.67,29.06
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance,Non Banking Financial Company (NBFC),4548.65,51.99,50537.29,10104.09,7956.87,78.75,78.42,22.16,3.38,1.32,2.62,4.68,15.01,818.63,-6.37,99.46,191.52,0.0,6.54,0.31,-0.39,8.95,0.89,19.38
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,726.0,46.86,13651.77,5644.56,730.6,12.94,9.72,27.88,5.8,-2.37,9.39,0.05,14.11,653.3,35.65,503.8,786.3,614.31,5.25,-0.1,0.11,0.19,1.45,26.04
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),367.85,62.86,156147.65,32695.45,24219.45,74.08,73.2,28.77,3.44,1.68,1.83,5.15,12.36,1788.01,-16.74,206.17,1848.36,0.0,6.04,-0.03,0.29,9.99,0.15,5.73
Tata Motors,544569,TMCV,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,470.0,56.46,173086.92,87197.0,11218.0,12.87,9.08,23.24,13.62,,7.98,0.44,34.02,-12669.0,-2533.0,2721.0,15704.0,5448.0,6.27,0.61,-0.45,0.53,0.86,7.66
Tata Power Co.,500400,TATAPOWER,INE245A01021,Power,Integrated Power Utilities,348.1,21.55,111229.81,63444.78,12816.25,20.2,21.26,28.44,2.82,4.76,3.18,1.93,10.21,-10008.64,4318.01,4423.96,10786.2,5107.64,7.04,0.14,-0.01,6.18,0.72,25.12
Tata Steel,500470,TATASTEEL,INE081A01020,Ferrous Metals,Iron & Steel,184.0,48.53,229696.91,239756.11,36189.24,15.09,14.8,19.38,2.31,2.02,3.99,0.9,11.71,-25656.07,484.9,4916.89,34810.14,47249.22,7.96,-0.23,0.32,3.68,2.12,18.0
TCS,532540,TCS,INE467B01029,IT - Software,Computers - Software & Consulting,2364.0,53.45,855315.9,275859.0,74079.0,26.85,27.11,15.84,8.01,2.11,30.95,0.11,51.81,41021.0,-884.0,67714.0,14808.0,29.0,8.63,0.07,-0.59,0.15,2.65,29.43
Techno Elec.Engg,542141,TECHNOE,INE285K01026,Construction,Civil Construction,982.95,54.43,11431.68,3380.41,457.59,13.54,13.76,22.16,2.71,0.67,8.9,0.01,12.97,3412.68,181.6,1239.27,1136.16,0.0,5.33,-1.11,-0.57,0.03,0.88,37.59
Torrent Power,532779,TORNTPOWER,INE813H01021,Power,Integrated Power Utilities,1216.0,24.09,61274.7,29184.09,5596.25,19.18,19.25,26.38,3.19,7.15,5.74,0.73,12.47,-1980.86,298.6,2329.76,1879.23,507.18,5.73,-0.13,0.13,3.27,1.63,33.34
TVS Holdings,520056,TVSHLTD,INE105A01035,Finance,Investment Company,13161.0,28.99,26627.44,62488.49,9896.09,15.84,15.69,13.42,4.13,0.34,5.81,5.59,30.61,55.52,14.89,2684.78,9965.28,2459.2,14.67,-0.04,-0.04,4.25,0.64,19.24
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,68.88,43.6,13421.57,7337.51,3216.81,43.84,43.41,14.85,2.0,-1.04,1.32,7.25,10.75,3013.46,1114.54,0.0,300.89,0.0,7.28,2.33,-0.42,11.41,0.0,6.84
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,184.7,58.95,140992.68,107127.36,72946.14,68.09,68.69,6.84,1.01,0.22,1.25,9.74,15.7,65203.3,21964.76,0.0,0.0,0.0,6.51,0.46,-0.74,14.33,2.72,10.12
UTI AMC,543238,UTIAMC,INE094J01016,Capital Markets,Asset Management Company,867.0,40.41,11144.34,1909.47,850.02,44.52,47.87,20.87,2.49,8.62,10.27,0.03,10.33,298.04,-91.73,77.32,25.83,0.0,7.34,-0.45,-0.22,0.17,4.67,39.16
Vedanta,500295,VEDL,INE205A01025,Diversified Metals,Diversified Metals,278.75,60.26,109002.1,88898.0,27496.0,30.93,29.56,9.91,2.23,0.57,11.57,0.66,38.15,-22348.0,14343.0,1305.0,7250.0,5414.0,17.0,-2.6,1.85,1.37,12.2,22.72
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment,Other Electrical Equipment,2600.0,38.87,74789.36,30042.73,6351.23,21.14,22.27,18.56,5.22,0.19,16.5,0.22,32.83,4869.3,412.84,2492.32,3107.81,5855.64,8.18,-0.24,1.51,0.54,0.08,32.73
Wipro,507685,WIPRO,INE075A01022,IT - Software,Computers - Software & Consulting,182.2,49.88,180463.16,94968.0,18210.8,19.18,19.23,13.7,2.18,2.69,9.85,0.23,15.46,-1455.8,3806.9,13590.1,6289.4,51.7,10.05,-2.64,0.53,1.07,5.98,33.3
Zensar Tech.,504067,ZENSARTECH,INE520A01027,IT - Software,Computers - Software & Consulting,459.7,40.74,10461.89,5810.7,926.4,15.94,16.11,13.23,2.18,0.39,13.54,0.02,17.32,1240.9,209.6,924.2,367.4,0.0,10.8,-1.68,0.22,0.07,3.32,47.1
