Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Indraprastha Gas,532514,IGL,Gas,LPG/CNG/PNG/LNG Supplier,195.11,50.05,27315.43,15643.80,1806.61,11.55,13.36,17.10,2.43,3.84,11.10,0.01,16.39,894.60,713.67,854.11,1130.48,58.49,8.18,0.09,0.39,0.05,14.87
Infosys,500209,INFY,IT - Software,Computers - Software & Consulting,1644.70,60.85,666871.23,169458.00,40467.00,23.88,24.07,23.71,6.61,3.68,18.62,0.08,28.83,59369.00,4073.00,33968.00,3839.00,0.00,6.17,2.11,-2.34,0.22,17.05
ITC,500875,ITC,Diversified FMCG,Diversified FMCG,402.60,47.68,504415.92,78551.59,26392.45,33.60,34.30,25.00,7.10,2.74,22.16,0.01,27.32,31741.61,17684.49,6503.38,5157.96,18762.59,5.48,0.50,-0.59,0.01,14.61
J & K Bank,532209,J&KBANK,Banks,Private Sector Bank,98.09,36.64,10801.50,12985.51,8892.98,68.48,69.38,5.17,0.72,0.08,1.28,10.34,15.77,17797.09,1058.33,0.00,0.00,0.00,6.28,-0.11,-0.16,15.52,16.34
Jindal Saw,500378,JINDALSAW,Industrial Products,Iron & Steel Products,165.21,49.05,10565.32,18636.17,2796.81,15.01,16.58,7.69,0.87,0.12,7.13,0.43,16.31,3482.24,125.62,3073.75,2125.19,5528.69,14.85,-0.42,0.23,2.25,43.70
Karur Vysya Bank,590003,KARURVYSYA,Banks,Private Sector Bank,254.61,56.53,24607.65,10381.07,6707.93,64.62,65.02,11.69,1.92,0.28,1.73,8.83,17.65,5284.51,1933.72,0.00,0.00,0.00,6.56,0.50,0.40,13.08,6.32
Kirloskar Oil,533293,KIRLOSENG,Industrial Products,"Compressors, Pumps & Diesel Engines",1222.40,55.57,17765.31,6915.20,1275.61,18.45,18.66,36.50,5.27,0.95,4.59,1.64,15.40,859.10,99.04,815.74,1002.69,849.68,5.34,0.79,-0.13,4.64,8.03
L T Foods,532783,LTFOODS,Agricultural Food & other Products,Other Agricultural Products,392.15,42.79,13617.52,9732.83,1082.95,11.13,11.27,21.41,3.25,0.78,9.06,0.43,16.70,2622.59,104.75,846.20,810.83,3538.72,6.59,1.12,-0.03,1.85,24.38
LIC Housing Fin.,500253,LICHSGFIN,Finance,Housing Finance Company,538.75,46.91,29634.64,28804.92,27033.67,93.85,94.28,5.37,0.77,0.16,1.80,7.08,16.05,-2129.25,1.37,3.97,66.28,0.00,8.93,-0.06,-0.08,10.13,16.68
Lupin,500257,LUPIN,Pharmaceuticals & Biotechnology,Pharmaceuticals,2082.10,50.57,95110.08,24750.69,6745.64,27.25,23.24,21.99,4.84,0.37,12.41,0.32,20.62,9445.32,279.70,6290.15,3407.15,5954.96,5.85,1.01,-0.75,1.08,13.37
M & M,500520,M&M,Automobiles,Passenger Cars & Utility Vehicles,3592.10,43.10,446687.99,175704.22,33298.56,18.95,19.17,31.39,5.39,1.16,5.51,1.53,18.05,34754.07,4399.51,9541.57,34621.91,24588.45,5.62,0.38,-0.49,4.09,5.37
M & M Fin. Serv.,532720,M&MFIN,Finance,Non Banking Financial Company (NBFC),386.40,63.03,53708.49,19699.23,12394.35,62.92,63.11,21.77,2.17,0.83,1.69,4.90,10.90,4769.58,127.30,235.40,1000.26,0.00,7.21,-0.04,0.26,9.97,6.28
Mahanagar Gas,539957,MGL,Gas,LPG/CNG/PNG/LNG Supplier,1121.80,37.53,11080.89,7753.14,1531.45,19.75,21.81,11.19,1.78,0.63,12.67,0.03,17.72,144.71,153.50,486.48,389.89,60.70,11.92,0.37,-1.89,0.16,29.31
Motil.Oswal.Fin.,532892,MOTILALOFS,Capital Markets,Stockbroking & Allied,856.40,41.42,51450.94,7769.82,3900.66,50.20,54.51,25.42,4.00,1.06,7.64,1.22,25.25,3947.62,61.82,1706.74,15.89,0.00,6.50,0.40,0.23,4.07,21.94
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,895.70,49.54,16042.87,4387.70,1737.10,39.59,49.58,10.43,1.85,0.07,24.23,0.03,28.00,5266.70,404.30,1718.90,512.60,818.00,13.85,0.06,-1.43,0.14,36.92
Nava,513023,NAVA,Power,Power Generation,553.40,46.88,15661.29,4017.64,1735.07,43.19,46.07,16.93,1.93,0.70,13.70,0.20,15.03,3931.02,134.34,943.89,128.62,687.52,9.77,0.06,0.12,1.06,24.74
NLC India,513683,NLCINDIA,Power,Power Generation,256.40,62.31,35553.36,16251.48,4230.82,26.03,30.98,13.61,1.78,0.27,4.68,1.22,14.47,-1774.41,2301.46,2990.61,1818.42,1944.26,7.45,-0.39,0.30,5.53,12.30
NTPC,532555,NTPC,Power,Power Generation,325.50,52.91,315626.48,186754.31,53490.38,28.64,28.91,13.29,1.64,1.58,4.26,1.33,12.13,-13789.34,11139.02,31750.32,10231.93,16854.12,8.22,0.01,0.31,5.51,12.37
Nuvama Wealth,543988,NUVAMA,Capital Markets,Stockbroking & Allied,1461.00,51.54,26561.88,4411.52,2361.48,53.53,53.34,25.90,6.95,0.49,4.04,2.37,30.87,5745.99,21.24,836.94,1909.55,0.00,10.59,1.24,-0.84,3.94,14.16
O N G C,500312,ONGC,Oil,Oil Exploration & Production,234.82,39.77,295410.12,657927.61,98563.11,14.98,14.52,8.07,0.80,-0.99,5.15,0.48,10.63,-20933.20,11878.24,21037.36,38229.06,55460.72,17.30,0.11,-0.10,2.40,14.14
Oberoi Realty,533273,OBEROIRLTY,Realty,"Residential, Commercial Projects",1670.50,51.97,60739.75,5327.81,3014.84,56.59,58.70,27.20,3.63,0.97,10.23,0.18,14.67,12364.24,285.90,244.39,517.78,9606.36,5.13,3.05,-3.30,0.95,28.70
Oil India,533106,OIL,Oil,Oil Exploration & Production,406.30,45.94,66089.07,33468.01,9784.51,29.24,35.19,11.06,1.17,1.97,7.08,0.64,13.26,7670.00,2385.41,3610.81,1925.03,4722.94,10.49,0.80,-0.60,3.69,17.84
Oracle Fin.Serv.,532466,OFSS,IT - Software,Software Products,7691.00,35.55,66924.70,7072.50,3080.10,43.55,44.93,28.20,9.07,3.53,24.01,0.00,29.34,5830.60,290.40,1431.40,68.70,0.00,5.32,-0.05,0.11,0.01,40.75
Paradeep Phosph.,543530,PARADEEP,Fertilizers & Agrochemicals,Fertilizers,161.47,53.12,16760.09,18974.64,1920.21,10.12,9.20,17.15,2.05,1.68,5.19,0.87,14.14,1306.36,153.11,4023.97,4918.56,4821.43,7.97,-3.62,1.04,3.17,31.11
PCBL Chemical,506590,PCBL,Chemicals & Petrochemicals,Carbon Black,295.55,22.60,11628.79,8375.11,1200.21,14.33,15.91,33.30,2.88,30.27,3.76,1.36,12.46,-501.60,48.19,1756.89,1672.04,1071.59,5.36,0.45,0.28,5.91,37.31
Petronet LNG,532522,PETRONET,Gas,LPG/CNG/PNG/LNG Supplier,278.45,56.01,41767.50,47431.60,5035.24,10.62,10.84,11.38,1.98,2.43,14.92,0.12,21.16,12090.29,843.92,2494.88,1838.76,1277.29,15.34,0.79,-1.01,0.50,20.29
PNB Housing,540173,PNBHOUSING,Finance,Housing Finance Company,932.80,54.80,24300.24,8184.49,7690.21,93.96,92.72,11.06,1.35,0.33,2.52,3.62,12.27,781.46,27.79,31.03,22.83,0.00,8.85,2.69,-5.57,8.51,18.31
Power Fin.Corpn.,532810,PFC,Finance,Financial Institution,351.55,47.34,116015.08,113492.35,109205.64,96.22,96.42,4.69,0.91,0.26,2.75,7.88,21.01,18683.87,145.09,293.09,193.17,0.00,9.88,-0.07,0.18,9.16,25.97
Power Grid Corpn,532898,POWERGRID,Power,Power - Transmission,260.60,38.27,242373.74,46180.55,37884.28,82.04,84.81,15.94,2.45,5.75,5.91,1.37,17.00,-3892.53,2090.92,9766.44,661.04,1883.52,7.36,0.84,-0.84,5.00,19.07
Punjab Natl.Bank,532461,PNB,Banks,Public Sector Bank,120.54,51.38,138535.94,129502.98,95371.61,73.64,72.67,8.13,0.97,0.12,1.07,12.22,15.17,189158.58,17765.09,0.00,0.00,0.00,6.25,0.48,0.15,15.36,5.68
Ratnamani Metals,520111,RATNAMANI,Industrial Products,Iron & Steel Products,2348.00,47.26,16457.60,5374.76,905.36,16.84,15.88,27.14,4.25,1.43,12.11,0.06,16.01,2182.63,85.00,924.46,325.39,1220.41,5.23,-0.39,-0.13,0.28,28.08
REC Ltd,532955,RECLTD,Finance,Financial Institution,355.95,55.99,93729.61,59513.92,57456.60,96.54,96.18,5.43,1.12,0.33,2.73,6.18,21.51,12770.98,126.06,264.89,2.75,0.00,9.53,0.35,-1.19,8.97,34.65
Rites,541556,RITES,Construction,Civil Construction,245.02,58.75,11775.75,2229.67,546.71,24.52,24.48,28.64,4.47,-3.09,7.19,0.00,14.66,1683.54,129.85,901.51,265.57,86.91,7.03,0.02,0.04,0.01,22.50
S C I,523598,SCI,Transport Services,Shipping,233.92,56.79,10895.99,5295.70,1617.45,30.54,31.49,13.55,1.28,-13.83,7.02,0.33,10.53,2033.73,401.74,1216.72,862.24,153.16,7.83,0.01,0.35,2.77,16.61
Sandur Manganese,504918,SANDUMA,Consumable Fuels,Coal,232.20,61.56,11287.35,4640.86,1128.30,24.31,24.93,18.85,3.89,-1.45,10.80,0.64,18.64,375.07,56.12,403.35,683.63,938.52,7.56,0.11,0.01,1.88,8.33
Sarda Energy,504614,SARDAEN,Ferrous Metals,Iron & Steel,514.95,52.29,18145.87,5718.87,1768.53,30.92,26.65,17.06,2.59,-3.21,8.51,0.38,13.44,3061.27,193.92,305.74,207.61,684.61,8.06,-0.94,0.31,1.64,19.53
SBFC Finance,543959,SBFC,Finance,Non Banking Financial Company (NBFC),104.86,45.08,11497.61,1492.95,1021.28,68.41,68.63,29.29,3.34,0.39,4.41,1.80,11.58,354.36,1.02,30.88,13.70,0.00,5.84,1.22,-0.11,6.16,14.75
