Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Chola Financial,504973,CHOLAHLDNG,Finance,Investment Company,1845.00,34644.94,36160.19,20178.18,55.80,57.02,15.55,2.53,0.54,2.36,13.68,19.11,-1097.78,421.82,211.86,395.95,0.00,9.61,1.09,-0.93,9.22,19.75
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance,Non Banking Financial Company (NBFC),1685.40,142187.33,28536.73,19741.86,69.18,70.32,30.61,5.47,1.20,2.38,7.23,19.71,9140.07,406.94,211.86,128.16,0.00,6.23,1.22,-1.11,9.44,5.42
CIE Automotive,532756,CIEINDIA,Auto Components,Auto Components & Equipments,411.40,15606.97,9123.42,1326.97,14.54,15.07,19.48,2.25,0.71,8.47,0.07,13.15,1085.46,120.02,1268.42,1661.71,1110.20,6.92,0.04,0.08,0.44,21.05
Cipla,500087,CIPLA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1507.50,121771.51,28349.57,7199.40,25.40,25.87,22.38,3.70,0.87,14.72,0.01,17.77,18620.79,1038.58,6902.26,3035.06,6160.12,5.85,1.00,-0.70,0.07,9.89
Cyient,532175,CYIENT,IT - Services,IT Enabled Services,1103.60,12260.29,7328.40,1018.90,13.90,15.47,21.74,2.20,3.97,8.87,0.08,12.81,2894.00,164.80,1171.20,404.10,596.80,7.87,2.79,-3.81,0.49,47.75
Deepak Fertilis.,500645,DEEPAKFERT,Chemicals & Petrochemicals,Commodity Chemicals,1377.20,17385.47,10910.95,1942.77,17.81,18.73,17.66,2.67,1.59,7.47,0.68,15.56,1643.01,112.96,1713.47,2332.01,1740.03,7.59,0.34,-0.31,2.71,22.57
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals & Biotechnology,Pharmaceuticals,1236.10,103167.53,34310.00,8454.40,24.64,26.18,17.87,2.86,0.47,12.95,0.16,17.96,12851.70,1302.70,9775.40,3532.30,7582.20,7.34,1.26,-0.64,0.75,12.08
Elecon Engg.Co,505700,ELECON,Electrical Equipment,Heavy Electrical Equipment,497.75,11169.51,2395.16,593.85,24.79,24.38,24.86,4.98,0.59,17.05,0.11,22.96,1254.48,163.56,511.07,210.45,272.19,5.33,0.33,-1.30,0.44,30.54
Engineers India,532178,ENGINERSIN,Construction,Civil Construction,195.43,10983.99,3566.47,590.69,16.56,16.66,20.44,4.06,0.33,11.39,0.01,23.17,460.76,147.65,499.99,586.19,0.64,7.15,-0.56,-0.13,0.03,23.50
Finolex Cables,500144,FINCABLES,Industrial Products,Cables - Electricals,753.40,11522.45,5548.00,569.28,10.26,9.69,19.16,2.40,1.84,11.25,0.00,12.39,3425.83,263.43,228.66,268.30,794.03,6.80,0.31,-0.77,0.03,43.91
