Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
Global Health,543654,MEDANTA,Healthcare Services,1290.40,34682.52,3692.32,877.07,23.75,23.75,66.90,10.23,1.75,11.46,0.21,16.48,1008.53,29.20,4.41
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes & Tobacco Products,9416.00,48957.48,5611.02,1177.42,20.98,20.98,42.48,9.33,0.94,18.00,0.03,24.32,1627.68,349.01,4.19
Grand Continent,,GCHOTELS,Leisure Services,168.95,421.01,72.62,19.18,26.41,26.41,39.57,3.94,0.27,10.02,0.10,15.56,41.13,0.62,3.59
GSM Foils,,GSMFOILS,Industrial Products,197.65,253.22,164.81,18.87,11.45,11.36,20.94,8.11,,23.72,0.57,45.66,43.74,0.08,0.00
GTV Engineering,539479,,Industrial Manufacturing,1374.60,429.41,102.77,16.17,15.73,15.73,38.86,9.09,0.24,15.02,0.24,26.42,35.66,0.18,0.00
Guj. Themis Bio.,506879,GUJTHEM,Pharmaceuticals & Biotechnology,372.45,4058.41,150.80,68.84,45.65,45.65,83.22,16.34,21.96,18.67,0.12,21.69,32.24,2.43,4.50
Hawkins Cookers,508486,,Consumer Durables,9543.20,5048.35,1115.76,154.53,13.85,13.85,44.02,13.17,4.01,20.66,0.06,32.00,287.97,13.53,3.60
HDFC AMC,541729,HDFCAMC,Capital Markets,5592.50,119570.43,3690.55,2972.78,80.55,82.62,45.90,14.70,2.20,30.18,0.00,32.35,-141.31,619.81,1.11
HDFC Bank,500180,HDFCBANK,Banks,2007.10,1539026.95,342193.10,136606.41,39.92,44.41,21.81,2.94,0.95,1.74,6.41,14.45,270754.86,144781.31,1.00
Hexaware Tech.,544362,HEXT,IT - Software,859.90,52353.53,11974.40,1835.10,15.33,15.33,44.99,9.75,2.82,14.37,0.11,23.29,1782.90,74.90,4.47
ICICI Bank,532174,ICICIBANK,Banks,1473.60,1051631.68,190829.78,55519.60,29.09,28.78,19.88,3.37,0.75,2.18,5.97,17.97,0.00,111063.13,0.57
Iconik Sports,511260,,Finance,55.79,188.80,12.71,3.48,27.38,27.38,72.62,2.96,0.41,9.49,0.00,15.03,6.37,0.00,0.00
INDIA SHELTE FIN,544044,INDIASHLTR,Finance,977.40,10540.87,1164.51,845.18,72.58,72.58,27.95,3.90,0.65,5.57,1.84,15.07,453.51,10.15,3.40
Indian Bank,532814,INDIANB,Banks,627.90,84575.87,62039.43,42221.25,68.06,68.06,7.51,1.18,0.19,1.35,10.89,17.09,36744.95,10011.45,4.65
Indogulf Cropsci,544432,IGCL,Fertilizers & Agrochemicals,116.51,737.08,552.73,59.53,10.77,10.77,23.46,,2.18,5.96,0.67,14.41,311.60,-1.65,4.50
Indosolar,533257,WAAREEINDO,Electrical Equipment,268.83,1118.43,518.03,159.03,30.70,29.34,6.33,27.68,0.08,28.03,1.24,420.74,-14.88,2.60,0.00
Interglobe Aviat,539448,INDIGO,Transport Services,5948.00,229903.21,80803.00,18006.20,22.28,22.28,31.70,24.70,0.69,7.33,7.21,129.08,28500.10,3306.80,1.18
Interiors & More,,INM,Consumer Durables,535.00,374.26,58.89,17.55,29.80,29.80,31.27,5.57,,13.81,0.45,19.56,67.36,0.24,2.73
J K Cements,532644,JKCEMENT,Cement & Cement Products,6490.00,50147.09,12424.11,2228.54,17.94,17.12,54.69,8.24,12.57,5.11,0.99,13.87,1944.59,287.66,2.67
Karnika Industri,,KARNIKA,Textiles & Apparels,692.70,858.92,172.55,26.03,15.09,15.09,47.64,12.10,0.82,13.14,0.85,29.05,114.80,3.73,4.19
Karur Vysya Bank,590003,KARURVYSYA,Banks,271.05,21824.64,9678.04,6179.30,63.85,63.85,11.24,1.83,0.27,1.73,8.66,17.68,0.00,1829.55,2.34
