Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Kovai Medical,523323,KOVAI,Healthcare Services,6260.65,6849.15,1371.11,390.28,28.46,28.46,32.68,6.31,1.26,12.94,0.38,21.23,61.44,21.23,30.84,29.49,16.40,4.50,0.49,0.17,1.32,3.90
M & M,500520,M&M,Automobiles,3159.30,392868.06,167522.29,31502.87,18.81,19.17,28.61,5.10,1.05,5.51,1.67,18.05,14303.79,4380.32,8279.70,30855.30,20330.93,5.89,-0.20,0.23,4.37,4.35
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,247.50,383.38,149.73,18.00,12.02,12.02,41.09,4.26,,3.37,1.18,10.95,66.04,6.07,1.90,29.24,74.90,4.76,0.00,0.19,5.07,0.00
Marico,531642,MARICO,Agricultural Food & other Products,711.20,92301.34,10831.00,2139.00,19.75,19.75,57.19,23.18,5.94,21.01,0.14,41.34,1247.00,208.00,1271.00,1363.00,1235.00,2.33,-1.51,1.53,0.26,4.54
Meghna Infracon,538668,,Realty,586.50,1274.10,39.88,11.34,28.44,28.44,137.89,57.96,,34.74,0.15,52.56,11.36,0.35,7.12,7.17,21.91,0.90,0.00,5.33,0.29,2.57
Monika Alcobev,544451,,Beverages,328.80,705.27,236.14,46.46,19.67,19.67,31.88,,0.24,8.19,1.81,28.63,96.84,3.53,101.88,24.18,149.42,5.57,,,3.67,0.00
MRF,500290,MRF,Auto Components,145905.00,61880.40,28152.50,4094.65,14.54,14.54,33.12,3.35,0.66,6.62,0.20,10.62,1023.41,405.67,3370.25,2822.00,5624.78,4.36,-0.56,1.13,1.33,4.64
Muthoot Finance,533398,MUTHOOTFIN,Finance,2592.70,104088.73,20214.17,14683.97,72.64,72.64,19.52,3.54,1.97,4.67,3.38,19.58,5542.14,110.32,11.86,137.13,0.00,7.52,0.46,-0.18,6.77,4.61
OBSC Perfection,,OBSCP,Auto Components,295.00,721.35,142.79,25.39,17.78,17.78,43.04,6.94,0.64,13.68,0.26,25.00,51.18,2.41,34.93,25.31,26.69,3.25,-0.49,-1.45,1.14,4.87
OCCL,544278,OCCLLTD,Chemicals & Petrochemicals,152.53,761.89,429.82,79.29,18.45,17.28,22.02,1.92,,8.03,0.16,10.84,56.42,2.47,64.92,24.34,59.89,6.53,-0.62,-0.09,1.15,4.67
