Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,305.30,57.88,157881.69,131574.32,83732.48,63.64,64.41,8.21,0.99,0.22,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,5.99,-0.21,1.13,15.69,2.57
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,166.42,72.12,75765.50,74518.88,53019.58,71.15,71.03,7.43,0.88,0.17,0.94,11.54,12.35,63717.28,9692.57,0.00,0.00,0.00,6.09,-0.45,1.58,15.77,1.18
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,65.79,63.69,50602.74,28257.38,18659.70,66.03,62.68,7.82,1.51,0.11,1.64,10.54,22.81,9929.94,3584.64,0.00,0.00,0.00,5.68,3.44,2.57,15.82,2.92
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,417.30,57.79,305037.07,25152.11,7425.99,29.52,28.76,53.56,14.14,1.76,13.21,0.00,29.22,16495.15,698.26,10590.70,2907.66,10211.08,2.57,-0.41,0.37,0.01,4.29
Bharat Forge,500493,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,1431.50,49.51,68438.39,15268.83,2695.80,17.66,17.80,63.31,7.31,80.14,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.68,1.97,-1.22,3.35,4.98
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,325.20,61.74,866.50,366.56,83.01,22.65,21.77,14.86,3.52,0.08,27.85,0.18,60.33,77.69,7.21,23.19,10.09,25.91,8.27,0.06,1.43,0.58,2.15
Canara Bank,532483,CANBK,INE476A01022,Banks,Public Sector Bank,154.68,56.67,140304.83,125841.25,76573.02,60.85,62.10,7.33,1.22,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.62,-1.76,2.72,14.47,2.78
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,423.20,58.15,260806.66,140712.05,43344.96,30.80,32.83,8.36,2.48,0.31,14.25,0.13,38.89,48598.10,10429.96,14420.39,9839.56,11532.25,17.98,-0.27,0.26,0.32,4.25
DCB Bank,532772,DCBBANK,INE503A01015,Banks,Private Sector Bank,188.79,61.23,6074.22,7049.26,4843.95,68.72,70.22,9.07,1.00,0.31,0.88,11.85,11.43,2314.01,825.08,0.00,0.00,0.00,7.61,0.21,1.43,12.47,2.28
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1558.40,63.51,29542.99,8449.24,1656.41,19.60,18.60,36.84,6.23,33.49,8.98,0.35,18.51,1919.49,-5.85,2299.86,1725.44,2304.58,4.12,1.74,0.30,1.31,1.72
