Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Components,Auto Components & Equipments,127.21,68.44,5075.42,2304.40,305.83,13.27,13.45,28.25,4.90,3.11,12.70,0.01,19.25,135.32,7.72,29.96,8.22,316.00,5.26,0.76,0.33,0.05,2.15
Jindal Stain.,532508,JSL,Ferrous Metals,Iron & Steel,792.60,57.54,65343.50,41205.54,4896.13,11.88,11.37,23.68,3.61,-3.58,7.50,0.38,16.15,2319.01,361.96,3050.61,10354.59,10079.32,6.10,-0.01,0.16,1.61,4.04
JK Tyre & Indust,530007,JKTYRE,Auto Components,Tyres & Rubber Products,490.90,67.60,13451.64,15312.53,1600.82,10.45,10.88,24.65,2.57,0.70,3.74,0.92,11.07,1181.60,62.66,3122.13,2108.99,2356.49,6.86,0.79,-0.02,3.96,1.12
Karur Vysya Bank,590003,KARURVYSYA,Banks,Private Sector Bank,252.58,59.07,24411.45,10381.07,6707.93,64.62,65.02,11.60,1.91,0.27,1.73,8.83,17.65,5284.51,1933.72,0.00,0.00,0.00,6.57,0.50,0.40,13.08,2.29
KEI Industries,517569,KEI,Industrial Products,Cables - Electricals,4441.60,68.26,42461.96,10703.71,1074.46,10.04,10.18,53.71,6.86,2.36,11.70,0.04,15.58,4039.55,127.62,1663.26,1077.22,2105.97,2.73,1.08,-0.77,0.21,2.91
Kesar India,543542,,Realty,"Residential, Commercial Projects",1112.70,86.13,2759.46,59.98,7.74,12.90,30.40,714.89,23.01,10.23,18.33,0.24,46.19,120.84,0.96,0.81,40.39,98.03,0.27,0.00,-1.53,4.03,0.21
Kirloskar Oil,533293,KIRLOSENG,Industrial Products,"Compressors, Pumps & Diesel Engines",1311.90,70.09,19066.03,6915.20,1275.61,18.45,18.66,39.17,5.65,1.02,4.59,1.64,15.40,859.10,99.04,815.74,1002.69,849.68,5.05,0.79,-0.13,4.64,1.29
Knowledge Realty,544481,KRT,Realty,Real Estate Investment Trusts (REITs),123.79,53.86,54893.43,3930.10,3100.08,78.88,78.88,172.63,1.21,,1.29,0.07,13.98,264.49,-157.27,0.00,7.00,0.00,5.03,,,1.03,4.40
Krishanveer Forg,513369,,Industrial Products,Castings & Forgings,149.75,65.70,163.83,82.60,9.73,11.78,10.10,25.13,3.77,1.74,10.52,0.00,13.84,30.19,1.23,23.40,10.29,4.01,5.84,0.00,0.00,0.00,2.70
L&T Finance Ltd,533519,LTF,Finance,Non Banking Financial Company (NBFC),303.35,54.70,75917.21,16715.82,10157.49,60.77,60.41,28.13,2.88,0.63,2.37,3.72,10.79,6108.65,11.92,67.74,1502.78,0.00,6.03,0.23,0.21,9.80,3.81
Larsen & Toubro,500510,LT,Construction,Civil Construction,4072.40,58.30,560191.55,270722.51,34311.35,12.67,13.43,34.85,5.53,1.52,4.98,1.32,16.55,50175.32,5318.76,53654.94,52869.21,8313.65,5.17,-0.14,0.15,3.84,1.63
LTIMindtree,540005,LTIM,IT - Software,Computers - Software & Consulting,6191.50,58.35,183571.31,39667.50,6769.00,17.06,17.09,37.70,7.84,7.24,15.83,0.10,21.53,16335.80,1156.20,6510.00,1433.00,3.10,3.76,0.47,-0.22,0.35,2.95
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,Auto Components & Equipments,1584.80,61.93,10801.63,4221.21,553.93,13.12,12.80,51.08,10.24,1.43,7.73,1.05,20.25,16.02,44.69,808.00,759.83,400.15,3.80,0.28,0.29,2.47,0.87
M & M,500520,M&M,Automobiles,Passenger Cars & Utility Vehicles,3616.70,46.17,449747.07,175704.22,33298.56,18.95,19.17,31.60,5.43,1.16,5.51,1.53,18.05,34754.07,4399.51,9541.57,34621.91,24588.45,5.59,0.38,-0.49,4.09,4.72
M & M Fin. Serv.,532720,M&MFIN,Finance,Non Banking Financial Company (NBFC),394.30,70.09,54806.56,19699.23,12394.35,62.92,63.11,22.21,2.21,0.84,1.69,4.90,10.90,4769.58,127.30,235.40,1000.26,0.00,7.17,-0.04,0.26,9.97,1.17
Manappuram Fin.,531213,MANAPPURAM,Finance,Non Banking Financial Company (NBFC),294.10,63.48,24893.65,9432.22,4342.27,46.04,54.36,55.43,1.96,-19.11,2.51,3.02,10.14,2814.48,9.89,0.00,121.22,0.00,6.69,0.56,0.45,9.45,1.31
Marico,531642,MARICO,Agricultural Food & other Products,Edible Oil,739.25,56.61,95961.13,12265.00,2206.00,17.99,19.75,57.60,23.68,5.99,21.01,0.14,41.34,2556.00,194.00,1666.00,1892.00,1598.00,2.30,-0.73,0.59,0.26,3.43
Maruti Suzuki,532500,MARUTI,Automobiles,Passenger Cars & Utility Vehicles,16649.00,63.97,523448.85,160633.80,19629.10,12.22,13.23,35.42,5.25,0.49,11.69,0.00,15.89,-2819.00,5645.10,7330.50,22281.70,10850.10,3.66,-0.70,0.58,0.01,0.28
Maxvolt Energy,,MAXVOLT,Auto Components,Auto Components & Equipments,485.00,64.42,528.84,197.23,26.98,13.68,13.03,28.96,6.49,0.03,15.93,0.50,25.25,74.62,1.78,17.05,9.01,36.58,5.08,-1.81,-0.01,1.46,1.42
