Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Insolation Ener,543620,,Power,Power Generation,135.30,42.79,2981.94,1498.48,182.38,12.17,12.09,20.57,4.34,0.13,22.76,0.37,34.87,206.93,20.69,237.65,139.18,181.77,6.15,0.13,-0.15,1.36,65.22
Kamdhenu,532741,KAMDHENU,Industrial Products,Iron & Steel Products,23.39,35.56,659.32,759.70,89.21,11.74,10.09,9.46,1.81,0.30,18.66,0.00,21.99,276.67,10.28,52.44,20.22,10.53,14.70,-0.32,-1.91,0.01,55.57
Kay Cee,,KCEIL,Construction,Civil Construction,155.00,40.46,189.47,198.15,34.55,17.44,17.78,8.92,2.03,0.12,12.27,0.59,32.11,89.54,0.69,38.27,24.25,37.76,15.39,-9.48,-0.81,1.56,62.04
Kaytex Fabrics,,KAYTEX,Textiles & Apparels,Garments & Apparels,73.25,34.94,107.67,157.63,31.13,19.75,20.01,6.03,1.00,0.10,15.31,0.40,40.49,93.42,1.04,49.83,20.26,54.31,23.71,,,1.55,53.31
Kimia Bioscien.,530313,,Pharmaceuticals & Biotechnology,Pharmaceuticals,31.56,50.91,149.32,125.92,18.23,14.48,17.03,18.25,12.89,0.28,9.10,3.11,186.78,-6.20,1.38,28.18,47.87,34.65,8.66,0.00,0.00,2.26,63.66
KNR Construct.,532942,KNRCON,Construction,Civil Construction,159.73,53.84,4492.16,3082.53,852.58,27.66,33.86,6.51,0.94,0.15,17.05,0.49,27.24,2574.81,54.70,874.47,261.32,158.57,14.45,-3.59,0.46,2.43,55.25
Kore Digital,,KDL,Telecom - Services,Telecom - Infrastructure,190.65,63.68,229.24,493.81,72.86,14.75,14.49,4.73,1.75,,16.13,0.05,35.48,72.22,0.11,224.09,151.17,13.59,28.01,-0.14,0.00,0.10,70.10
Lagnam Spintex,,LAGNAM,Textiles & Apparels,Other Textile Products,70.01,43.46,123.70,583.78,66.81,11.44,10.81,9.34,1.02,-0.40,2.34,3.21,11.26,13.52,0.32,67.43,14.55,118.20,9.83,0.00,0.00,7.72,52.97
Lakshya Powertec,,LAKSHYA,Construction,Civil Construction,123.90,50.32,124.94,182.10,23.29,12.79,14.15,8.18,1.24,0.06,13.54,0.57,25.41,92.16,1.16,60.13,22.83,55.87,13.32,-1.44,-0.19,2.43,63.98
Laxmi Dental,544339,LAXMIDENTL,Healthcare Equipment & Supplies,Medical Equipment & Supplies,266.35,42.61,1463.92,260.21,42.08,16.17,17.84,56.83,6.39,0.81,12.31,0.04,21.88,91.80,6.74,42.24,8.91,19.09,2.27,-2.45,-1.20,0.27,54.39
Magellanic Cloud,538891,MCLOUD,IT - Software,Computers - Software & Consulting,26.24,30.01,1545.71,636.17,211.53,33.25,34.26,14.41,2.65,0.28,12.17,0.47,22.23,180.08,4.68,293.79,39.80,18.55,9.74,0.00,0.04,1.57,75.11
Man Infra,533169,MANINFRA,Construction,Civil Construction,130.29,47.54,5259.37,867.78,244.55,28.18,27.13,19.37,2.41,2.04,14.42,0.01,17.49,1867.29,160.27,55.80,51.16,576.26,8.19,-0.09,0.93,0.08,50.42
Manoj Ceramic,544073,,Consumer Durables,Ceramics,105.00,53.83,143.92,179.73,24.48,13.62,13.76,11.78,1.02,0.10,7.31,0.45,16.23,139.71,0.23,99.55,16.61,58.93,12.35,0.00,2.82,2.39,54.04
Maxposure,,MAXPOSURE,Entertainment,Media & Entertainment,47.15,41.32,107.22,77.69,11.01,14.17,16.94,12.51,1.50,,9.76,0.12,12.87,27.13,0.77,21.70,4.47,0.95,10.59,-0.65,-0.91,0.81,54.20
Mehai Technology,540730,,Commercial Services & Supplies,Trading & Distributors,1.63,24.18,120.79,147.63,17.41,11.79,11.09,13.12,0.86,0.06,7.49,0.36,10.63,52.89,0.65,34.28,5.74,23.67,10.40,0.00,0.00,2.97,91.54
Meta Infotech,544441,,IT - Services,IT Enabled Services,113.10,33.67,213.55,218.82,25.11,11.48,11.48,15.85,2.93,0.22,23.82,0.44,42.60,44.02,-1.11,198.77,142.72,23.43,10.05,,,1.35,54.76
