Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
EMS,543983.0,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,318.0,39.16,1765.89,882.57,186.86,21.17,26.31,13.48,1.66,0.41,17.21,0.16,20.69,705.51,11.47,398.78,27.78,102.46,10.62,0.0,0.2,0.88,0.48,53.43
Eppeltone Ene.,,EEPL,INE11HF01010,Electrical Equipment,Other Electrical Equipment,105.45,33.57,136.66,120.45,19.38,16.09,14.33,10.16,1.62,0.04,11.22,0.36,33.95,58.99,0.85,45.92,48.37,63.39,11.98,0.23,0.0,1.61,0.0,60.64
Espire Hospi,532016.0,,INE176O01011,Leisure Services,Hotels & Resorts,207.0,38.55,308.91,132.21,28.13,21.28,18.8,36.76,7.89,0.1,6.59,3.26,35.33,51.26,0.98,2.82,13.28,0.31,4.94,0.0,0.0,5.89,0.0,66.61
G G Automotive,531399.0,,INE493B01017,Auto Components,Auto Components & Equipments,136.6,26.16,136.46,116.37,21.03,18.07,18.07,12.27,2.33,0.16,10.86,0.5,21.17,27.95,0.29,18.7,14.47,19.1,10.88,0.0,0.0,1.79,0.0,57.71
Ganesh Infra.,,GANESHIN,INE0TVT01024,Construction,Civil Construction,81.7,42.61,349.05,835.55,105.18,12.59,12.59,4.59,1.36,,10.74,1.94,35.06,219.19,4.05,337.48,105.2,111.97,12.93,0.35,-0.16,4.69,0.0,70.8
Gem Aromatics,544491.0,GEMAROMA,INE06XZ01023,Chemicals & Petrochemicals,Specialty Chemicals,156.08,36.36,815.32,458.28,69.56,15.18,17.55,27.6,1.81,1.41,11.81,0.32,20.73,221.06,2.91,92.98,47.72,226.44,6.33,0.22,0.27,2.52,0.0,55.35
Genesys Intl.,506109.0,GENESYS,INE727B01026,IT - Services,IT Enabled Services,209.2,32.68,874.27,317.76,125.01,39.34,46.0,20.25,1.29,-6.12,7.94,0.21,10.76,390.92,11.25,209.38,33.94,0.0,8.72,0.66,-2.99,1.88,0.0,72.38
GLEN Industries,544444.0,,INE0UMC01019,Industrial Products,Packaging,70.95,41.44,170.73,182.08,41.87,23.0,24.24,9.46,1.25,0.13,9.62,0.84,36.35,63.7,0.8,31.97,3.25,64.84,15.0,-2.41,-0.22,3.33,0.0,56.96
Globe Civil,544424.0,GLOBECIVIL,INE0V3U01015,Construction,Civil Construction,43.15,40.79,257.66,386.46,52.91,13.69,14.33,10.83,1.15,0.17,7.04,0.63,26.2,194.86,2.94,154.46,48.17,140.57,14.27,0.46,0.02,2.78,0.0,54.58
Grand Continent,,GCHOTELS,INE12E301017,Leisure Services,Hotels & Resorts,89.9,42.9,224.02,96.49,13.52,14.01,26.45,33.36,2.05,0.22,9.98,0.24,15.56,22.66,2.07,9.56,6.18,1.56,5.24,-0.91,-0.12,1.95,0.0,64.75
H.G. Infra Engg.,541019.0,HGINFRA,INE926X01010,Construction,Civil Construction,597.5,51.92,3893.98,5168.75,1013.24,19.6,20.93,10.19,1.26,1.13,7.01,1.84,18.28,1301.98,39.01,444.24,1177.16,419.98,9.39,-0.49,-0.53,6.45,0.33,53.14
HLE Glascoat,522215.0,HLEGLAS,INE461D01028,Industrial Manufacturing,Industrial Products,308.75,42.18,2144.34,1352.98,139.76,10.33,10.33,40.07,4.01,-4.77,4.59,0.65,10.77,112.34,2.09,269.89,147.24,355.76,4.66,0.4,0.13,3.1,0.36,53.36
Iconik Sports,511260.0,,INE088P01015,Finance,Other Financial Services,35.0,33.56,118.49,39.86,7.03,17.64,28.17,18.61,1.77,0.1,9.49,0.0,15.02,34.61,0.21,24.9,1.65,0.0,6.17,0.0,0.0,0.0,0.0,61.55
Indef Manufactur,544364.0,BAJAJINDEF,INE0O9T01021,Industrial Manufacturing,Industrial Products,277.9,43.49,889.28,192.64,24.77,12.86,17.12,32.66,3.45,,,0.02,13.51,15.41,16.48,15.86,27.4,30.16,4.1,0.13,0.01,0.11,0.73,52.16
Indo US Bio-Tech,541304.0,INDOUS,INE250Z01010,Agricultural Food & other Products,Other Agricultural Products,101.79,40.65,204.11,117.8,18.36,15.59,18.24,13.75,2.36,0.3,17.85,0.32,23.03,77.75,0.16,33.39,1.1,60.87,7.45,0.0,0.18,1.6,0.25,50.59
Infollion Resea.,,INFOLLION,INE0NNZ01013,Commercial Services & Supplies,Diversified Commercial Services,195.2,22.98,189.47,100.32,14.32,14.27,14.27,15.15,2.81,0.34,18.81,0.0,20.68,59.18,2.72,18.38,1.44,0.0,11.68,0.34,-0.01,0.0,0.0,64.57
